
Image Name                     PID Session Name        Session#    Mem Usage
AdobeIPCBroker.exe            8756 Console                    1      8,684 K
chrome.exe                    6468 Console                    1     78,092 K
chrome.exe                    6736 Console                    1     37,828 K
chrome.exe                    6704 Console                    1     30,724 K
VIPAppService.exe             6560 Services                   0      5,004 K
Adobe CEF Helper.exe          4796 Console                    1     46,060 K
UNS.exe                       6636 Services                   0     13,176 K
Adobe Desktop Service.exe     9916 Console                    1     49,000 K
Adobe CEF Helper.exe         10008 Console                    1     51,908 K
WmiPrvSE.exe                  2304 Services                   0     28,052 K
WmiApSrv.exe                  6260 Services                   0      6,720 K
CoreSync.exe                  6300 Console                    1     23,468 K
CCXProcess.exe                7976 Console                    1      2,112 K
node.exe                      5816 Console                    1     45,184 K
conhost.exe                   6124 Console                    1      3,792 K
WmiPrvSE.exe                 10604 Services                   0      6,960 K
jucheck.exe                   2576 Console                    1     11,736 K
WmiPrvSE.exe                 10292 Services                   0     12,400 K
SCNotification.exe            7052 Console                    1     42,864 K
AdobeARM.exe                  5776 Console                    1        556 K
taskhost.exe                  9528 Console                    1     14,088 K
officeclicktorun.exe          8060 Services                   0     35,892 K
Photoshop.exe                 7992 Console                    1  18,26,684 K
dynamiclinkmanager.exe        7056 Console                    1     13,940 K
CS6ServiceManager.exe         6076 Console                    1      6,880 K
WTClient.exe                  8280 Console                    1      8,248 K
notepad.exe                   3636 Console                    1      8,032 K
wmpnetwk.exe                  7344 Services                   0     10,724 K
SoftwareUpdate.exe           10672 Console                    1      1,120 K
atom.exe                      6596 Console                    1     74,376 K
atom.exe                     10700 Console                    1     70,656 K
atom.exe                      1600 Console                    1      8,840 K
atom.exe                     10464 Console                    1     99,076 K
SearchIndexer.exe             6856 Services                   0     88,248 K
OSE.EXE                       1032 Services                   0      5,896 K
CrashPlanService.exe          4788 Services                   0     89,944 K
chrome.exe                     464 Console                    1   1,48,388 K
sh.exe                        9544 Console                    1      4,624 K
conhost.exe                   5596 Console                    1      7,592 K
SearchProtocolHost.exe        4984 Services                   0      8,848 K
chrome.exe                    7660 Console                    1     52,220 K
sh.exe                       10552 Console                    1      4,232 K
php.exe                       8908 Console                    1      8,272 K
chrome.exe                   10064 Console                    1     59,344 K
chrome.exe                   10560 Console                    1     18,008 K
audiodg.exe                   6824 Services                   0      4,400 K
SearchFilterHost.exe          2876 Services                   0      5,312 K
sh.exe                        2564 Console                    1      4,276 K
tasklist.exe                  2028 Console                    1      5,588 K
